地区,日期,天气,最高气温,最低气温,AQI,风向,降雨量(mm)
临桂区,2024/6/1,多云,30,20,20,东北风2级,0
临桂区,2024/6/2,多云,31,22,30,东北风2级,0
临桂区,2024/6/3,阴/?雨,27,22,34,东北风2级,46.11
临桂区,2024/6/4,雨,23,20,22,北风2级,0.24
临桂区,2024/6/5,阴/?多云,26,20,22,东北风2级,0
临桂区,2024/6/6,多云,29,21,27,东北风2级,0
临桂区,2024/6/7,阴/?多云,31,22,36,东北风1级,0
临桂区,2024/6/8,雨,31,23,35,东北风1级,0
临桂区,2024/6/9,雨,28,23,32,东北风1级,20.09
临桂区,2024/6/10,雨,27,23,23,南风1级,1.88
临桂区,2024/6/11,雨,31,24,34,西南风2级,0
临桂区,2024/6/12,雨,29,25,30,西南风2级,52.88
临桂区,2024/6/13,雨,31,24,14,西南风2级,9.62
临桂区,2024/6/14,雨,26,24,12,南风1级,4.34
临桂区,2024/6/15,雨,31,23,30,南风1级,2.18
临桂区,2024/6/16,雨,31,25,16,南风2级,0
临桂区,2024/6/17,雨,26,23,16,东南风1级,2.42
临桂区,2024/6/18,雨,26,23,27,东南风2级,3.88
临桂区,2024/6/19,雨,29,24,24,南风2级,0
临桂区,2024/6/20,雨/?多云,32,25,21,南风2级,0
临桂区,2024/6/21,雨,32,25,20,南风2级,0
临桂区,2024/6/22,雨/?阴,33,27,19,西南风2级,0
临桂区,2024/6/23,雨,33,26,18,南风1级,0
临桂区,2024/6/24,雨,31,25,17,北风1级,0
临桂区,2024/6/25,雨,27,21,15,东北风2级,0
临桂区,2024/6/26,雨,30,21,14,东北风1级,1.92
临桂区,2024/6/27,雨,31,23,15,南风1级,0
临桂区,2024/6/28,雨/?阴,30,23,19,西南风2级,0
临桂区,2024/6/29,雨,30,26,14,西南风2级,0
临桂区,2024/6/30,雨,28,23,28,南风1级,0
灵川县,2024/6/1,多云,29,20,20,东北风2级,0
灵川县,2024/6/2,多云,31,22,35,东北风2级,0
灵川县,2024/6/3,阴/?雨,28,21,42,东北风2级,0
灵川县,2024/6/4,雨,23,20,24,东北风2级,1.07
灵川县,2024/6/5,阴/?多云,26,19,28,东北风2级,0
灵川县,2024/6/6,多云,29,21,31,东北风2级,0
灵川县,2024/6/7,阴/?雨,31,22,29,东北风1级,2.05
灵川县,2024/6/8,雨,29,23,30,东北风2级,0
灵川县,2024/6/9,雨,27,23,34,东北风1级,22.29
灵川县,2024/6/10,雨,27,23,27,南风1级,4.36
灵川县,2024/6/11,雨,29,23,32,西南风2级,0
灵川县,2024/6/12,雨,28,25,28,西南风2级,50.54
灵川县,2024/6/13,雨,30,24,16,西南风2级,24.81
灵川县,2024/6/14,雨,27,24,12,南风1级,0
灵川县,2024/6/15,雨,34,24,23,南风1级,0
灵川县,2024/6/16,雨,31,24,18,南风1级,2.4
灵川县,2024/6/17,雨,26,23,13,东南风1级,7.15
灵川县,2024/6/18,雨,27,22,12,东南风1级,23.86
灵川县,2024/6/19,雨,28,24,24,南风1级,0
灵川县,2024/6/20,雨,30,23,21,南风2级,6.94
灵川县,2024/6/21,雨,34,25,22,西南风2级,0
灵川县,2024/6/22,雨/?阴,34,27,32,西南风2级,0
灵川县,2024/6/23,雨,34,26,20,南风1级,0
灵川县,2024/6/24,雨,32,25,14,北风1级,0
灵川县,2024/6/25,雨,26,21,14,东北风2级,12.26
灵川县,2024/6/26,雨,27,21,17,东北风1级,10.7
灵川县,2024/6/27,雨/?阴,31,22,12,南风1级,0
灵川县,2024/6/28,雨,30,23,20,西南风2级,0
灵川县,2024/6/29,雨,29,25,14,西南风2级,0
灵川县,2024/6/30,雨,28,23,20,南风1级,0.96
