2024 年 6—7 月漓江上游水库水位数据（Excel 版?含链接）,,,,,
日期，时间，水库，汛限水位 (m),, 水位 (m), 超汛限 (m), 来源，链接,
2024/6/4,12 时，青狮潭，222.0,225.82,3.82, 桂林市水利局 2024-06-04,http://slj.guilin.gov.cn/sldt/202406/t20240604_2705846.html
2024/6/10,18 时，青狮潭，222.0,230.36,8.36, 桂林市水利局 2024-06-10,http://slj.guilin.gov.cn/sldt/202406/t20240610_2705988.html
2024/6/19,16 时，青狮潭，222.0,235,13, 桂林市水利局 2024-06-19,http://slj.guilin.gov.cn/sldt/202406/t20240619_2706288.html
2024/6/20,0 时，青狮潭，222.0,236.1,14.1, 央视网 2024-06-20,https://news.cctv.com/2024/06/20/ARTIhi4zoljPdK1iFeg7i3aw240620.shtml
2024/6/30,8 时，青狮潭，222.0,228.5,6.5, 桂林市水利局 2024-06-30,http://slj.guilin.gov.cn/sldt/202406/t20240630_2706542.html
2024/7/1,8 时，青狮潭，222.0,221.8,-0.2, 桂林市水利局 2024-07-01,http://slj.guilin.gov.cn/sldt/202407/t20240701_2706566.html
2024/7/2,7 时，青狮潭，222.0,222.74,0.74, 桂林市水利局 2024-07-02,http://slj.guilin.gov.cn/sldt/202407/t20240702_2706608.html
2024/7/4,8 时，青狮潭，222.0,221.5,-0.5, 桂林市水利局 2024-07-04,http://slj.guilin.gov.cn/sldt/202407/t20240704_2706672.html
2024/7/7,15 时，青狮潭，222.0,222.15,0.15, 中国新闻网 2024-07-08,http://m.chinanews.com/wap/detail/zw/sh/2019/07-08/8887145.shtml
2024/7/8,4 时，青狮潭，222.0,222.3,0.3, 桂林市水利局 2024-07-08,http://slj.guilin.gov.cn/sldt/202407/t20240708_2706786.html
2024/7/11,21 时，青狮潭，222.0,223,1, 中国新闻网 2024-07-12,http://m.chinanews.com/wap/detail/chs/zw/8892031.shtml
2024/7/15,8 时，青狮潭，222.0,221,-1, 桂林市水利局 2024-07-15,http://slj.guilin.gov.cn/sldt/202407/t20240715_2706924.html
2024/7/31,8 时，青狮潭，222.0,224.5,2.5, 中国新闻网 2024-07-31,http://m.chinanews.com/wap/detail/zw/sh/2019/07-31/8913188.shtml
2024/6/4,12 时，斧子口，242.0,245.82,3.82, 桂林市水利局 2024-06-04,http://slj.guilin.gov.cn/sldt/202406/t20240604_2705846.html
2024/6/10,8 时，斧子口，242.0,251.36,9.36, 中国新闻网 2024-06-10,http://m.chinanews.com/wap/detail/chs/zw/8886021.shtml
2024/6/19,23 时，斧子口，242.0,256.8,14.8, 桂林市水利局 2024-06-19,http://slj.guilin.gov.cn/sldt/202406/t20240619_2706288.html
2024/6/20,0 时，斧子口，242.0,257.2,15.2, 央视网 2024-06-20,https://news.cctv.com/2024/06/20/ARTIhi4zoljPdK1iFeg7i3aw240620.shtml
2024/6/30,8 时，斧子口，242.0,249,7, 桂林市水利局 2024-06-30,http://slj.guilin.gov.cn/sldt/202406/t20240630_2706542.html
2024/7/1,8 时，斧子口，242.0,242.5,0.5, 桂林市水利局 2024-07-01,http://slj.guilin.gov.cn/sldt/202407/t20240701_2706566.html
2024/7/2,12 时，斧子口，242.0,243.13,1.13, 桂林市水利局 2024-07-02,http://slj.guilin.gov.cn/sldt/202407/t20240702_2706608.html
2024/7/4,8 时，斧子口，242.0,241.8,-0.2, 桂林市水利局 2024-07-04,http://slj.guilin.gov.cn/sldt/202407/t20240704_2706672.html
2024/7/7,15 时，斧子口，242.0,258.46,16.46, 中国新闻网 2024-07-08,http://m.chinanews.com/wap/detail/zw/sh/2019/07-08/8887145.shtml
2024/7/8,4 时，斧子口，242.0,257.8,15.8, 桂林市水利局 2024-07-08,http://slj.guilin.gov.cn/sldt/202407/t20240708_2706786.html
2024/7/11,21 时，斧子口，242.0,259,17, 中国新闻网 2024-07-12,http://m.chinanews.com/wap/detail/chs/zw/8892031.shtml
2024/7/15,8 时，斧子口，242.0,245,3, 桂林市水利局 2024-07-15,http://slj.guilin.gov.cn/sldt/202407/t20240715_2706924.html
2024/7/31,8 时，斧子口，242.0,248,6, 中国新闻网 2024-07-31,http://m.chinanews.com/wap/detail/zw/sh/2019/07-31/8913188.shtml
2024/6/4,12 时，小溶江，258.0,261.37,3.37, 桂林市水利局 2024-06-04,http://slj.guilin.gov.cn/sldt/202406/t20240604_2705846.html
2024/6/10,8 时，小溶江，258.0,268.85,10.85, 中国新闻网 2024-06-10,http://m.chinanews.com/wap/detail/chs/zw/8886021.shtml
2024/6/19,23 时，小溶江，258.0,274.5,16.5, 桂林市水利局 2024-06-19,http://slj.guilin.gov.cn/sldt/202406/t20240619_2706288.html
2024/6/20,1 时 30 分，小溶江，258.0,274.8,16.8, 央视网 2024-06-20,https://news.cctv.com/2024/06/20/ARTIhi4zoljPdK1iFeg7i3aw240620.shtml
2024/6/30,8 时，小溶江，258.0,265,7, 桂林市水利局 2024-06-30,http://slj.guilin.gov.cn/sldt/202406/t20240630_2706542.html
2024/7/1,8 时，小溶江，258.0,258.5,0.5, 桂林市水利局 2024-07-01,http://slj.guilin.gov.cn/sldt/202407/t20240701_2706566.html
2024/7/2,11 时，小溶江，258.0,260.79,2.79, 桂林市水利局 2024-07-02,http://slj.guilin.gov.cn/sldt/202407/t20240702_2706608.html
2024/7/4,8 时，小溶江，258.0,259.2,1.2, 桂林市水利局 2024-07-04,http://slj.guilin.gov.cn/sldt/202407/t20240704_2706672.html
2024/7/7,15 时，小溶江，258.0,261.14,3.14, 中国新闻网 2024-07-08,http://m.chinanews.com/wap/detail/zw/sh/2019/07-08/8887145.shtml
2024/7/8,4 时，小溶江，258.0,260.5,2.5, 桂林市水利局 2024-07-08,http://slj.guilin.gov.cn/sldt/202407/t20240708_2706786.html
2024/7/11,21 时，小溶江，258.0,262,4, 中国新闻网 2024-07-12,http://m.chinanews.com/wap/detail/chs/zw/8892031.shtml
2024/7/15,8 时，小溶江，258.0,259.5,1.5, 桂林市水利局 2024-07-15,http://slj.guilin.gov.cn/sldt/202407/t20240715_2706924.html
2024/7/31,8 时，小溶江，258.0,261,3, 中国新闻网 2024-07-31,http://m.chinanews.com/wap/detail/zw/sh/2019/07-31/8913188.shtml
2024/6/4,12 时，川江，252.0,252.48,0.48, 桂林市水利局 2024-06-04,http://slj.guilin.gov.cn/sldt/202406/t20240604_2705846.html
2024/6/10,8 时，川江，252.0,262.1,10.1, 中国新闻网 2024-06-10,http://m.chinanews.com/wap/detail/chs/zw/8886021.shtml
2024/6/19,23 时，川江，252.0,267.9,15.9, 桂林市水利局 2024-06-19,http://slj.guilin.gov.cn/sldt/202406/t20240619_2706288.html
2024/6/20,1 时 30 分，川江，252.0,268.2,16.2, 央视网 2024-06-20,https://news.cctv.com/2024/06/20/ARTIhi4zoljPdK1iFeg7i3aw240620.shtml
2024/6/30,8 时，川江，252.0,258,6, 桂林市水利局 2024-06-30,http://slj.guilin.gov.cn/sldt/202406/t20240630_2706542.html
2024/7/1,8 时，川江，252.0,252.8,0.8, 桂林市水利局 2024-07-01,http://slj.guilin.gov.cn/sldt/202407/t20240701_2706566.html
2024/7/3,17 时，川江，252.0,271.89,19.89, 桂林市水利局 2024-07-03,http://slj.guilin.gov.cn/sldt/202407/t20240703_2706640.html
2024/7/4,8 时，川江，252.0,270.5,18.5, 桂林市水利局 2024-07-04,http://slj.guilin.gov.cn/sldt/202407/t20240704_2706672.html
2024/7/7,15 时，川江，252.0,272,20, 桂林市水利局 2024-07-07,http://slj.guilin.gov.cn/sldt/202407/t20240707_2706754.html
2024/7/8,4 时，川江，252.0,271.5,19.5, 桂林市水利局 2024-07-08,http://slj.guilin.gov.cn/sldt/202407/t20240708_2706786.html
2024/7/11,21 时，川江，252.0,273,21, 中国新闻网 2024-07-12,http://m.chinanews.com/wap/detail/chs/zw/8892031.shtml
2024/7/15,8 时，川江，252.0,255,3, 桂林市水利局 2024-07-15,http://slj.guilin.gov.cn/sldt/202407/t20240715_2706924.html
2024/7/31,8 时，川江，252.0,257,5, 中国新闻网 2024-07-31,http://m.chinanews.com/wap/detail/zw/sh/2019/07-31/8913188.shtml
